Printer_Name,Consumable_Sku
Brother HL-4570CDW,"CPT/TN310BK,CPT/TN310C,CPT/TN310Y,CPT/TN310M,CPT/TN315BK,CPT/TN315C,CPT/TN315Y,CPT/TN315M"
Brother HL-4570CDWT,"CPT/TN310BK,CPT/TN310C,CPT/TN310Y,CPT/TN310M,CPT/TN315BK,CPT/TN315C,CPT/TN315Y,CPT/TN315M"
Brother HL-L8250CDN,"CPT/TN336BK,CPT/TN336C,CPT/TN336Y,CPT/TN336M"
Brother HL-L8350CDW,"CPT/TN336BK,CPT/TN336C,CPT/TN336Y,CPT/TN336M"
Brother HL-L8350CDWT,"CPT/TN336BK,CPT/TN336C,CPT/TN336Y,CPT/TN336M"
Brother MFC-L8850CDW,"CPT/TN336BK,CPT/TN336C,CPT/TN336Y,CPT/TN336M"
Brother MFC-L8600CDW,"CPT/TN336BK,CPT/TN336C,CPT/TN336Y,CPT/TN336M"
Brother DCP-L8400CDN,"CPT/TN336BK,CPT/TN336C,CPT/TN336Y,CPT/TN336M"
Brother HL-L9200CDWT,"CPT/TN339BK,CPT/TN339C,CPT/TN339Y,CPT/TN339M"
Brother MFC-L9550CDW,"CPT/TN339BK,CPT/TN339C,CPT/TN339Y,CPT/TN339M"
Brother MFC-L9550CDWT,"CPT/TN339BK,CPT/TN339C,CPT/TN339Y,CPT/TN339M"
Brother HL-L8260CDW,"CPT/TN431BK,CPT/TN431C,CPT/TN431Y,CPT/TN431M,CPT/TN433BK,CPT/TN433C,CPT/TN433Y,CPT/TN433M"
Brother HL-L8360CDW,"CPT/TN431BK,CPT/TN431C,CPT/TN431Y,CPT/TN431M,CPT/TN433BK,CPT/TN433C,CPT/TN433Y,CPT/TN433M,CPT/TN436BK,CPT/TN436C,CPT/TN436M,CPT/TN436Y"
Brother HL-L8360CDWT,"CPT/TN431BK,CPT/TN431C,CPT/TN431Y,CPT/TN431M,CPT/TN433BK,CPT/TN433C,CPT/TN433Y,CPT/TN433M,CPT/TN436BK,CPT/TN436C,CPT/TN436M,CPT/TN436Y"
Brother MFC-L8900CDW,"CPT/TN431BK,CPT/TN431C,CPT/TN431Y,CPT/TN431M,CPT/TN433BK,CPT/TN433C,CPT/TN433Y,CPT/TN433M,CPT/TN436BK,CPT/TN436C,CPT/TN436M,CPT/TN436Y"
Brother MFC-L8610CDW,"CPT/TN431BK,CPT/TN431C,CPT/TN431Y,CPT/TN431M,CPT/TN433BK,CPT/TN433C,CPT/TN433Y,CPT/TN433M"
Brother MFC-L8895CDW,"CPT/TN431BK,CPT/TN431C,CPT/TN431Y,CPT/TN431M,CPT/TN433BK,CPT/TN433C,CPT/TN433Y,CPT/TN433M,CPT/TN436BK,CPT/TN436C,CPT/TN436M,CPT/TN436Y"
Brother MFC-L8905CDW,"CPT/TN431BK,CPT/TN431C,CPT/TN431Y,CPT/TN431M,CPT/TN433BK,CPT/TN433C,CPT/TN433Y,CPT/TN433M,CPT/TN436BK,CPT/TN436C,CPT/TN436M,CPT/TN436Y"
Brother MFC-L9570CDW  US,"CPT/TN439BK,CPT/TN439C,CPT/TN439Y,CPT/TN439M,CPT/TN436BK,CPT/TN436C,CPT/TN436M,CPT/TN436Y"
Brother MFC-L9570CDW,"CPT/TN439BK,CPT/TN439C,CPT/TN439Y,CPT/TN439M,CPT/TN436BK,CPT/TN436C,CPT/TN436M,CPT/TN436Y"
Brother HL-L9310CDW  US,"CPT/TN439BK,CPT/TN439C,CPT/TN439Y,CPT/TN439M,CPT/TN436BK,CPT/TN436C,CPT/TN436M,CPT/TN436Y"
Canon imageCLASS LBP-352dn,"CPT/CAN039,CPT/CAN039H"
Canon imageCLASS LBP-351dn,"CPT/CAN039,CPT/CAN039H"
Canon imageCLASS LBP-312dn,"CPT/CAN041,CPT/CAN041H"
Canon imageCLASS MF525dw,"CPT/CAN041,CPT/CAN041H"
Canon imageCLASS LBP-113w,"CPT/CAN047,CPT/CAN049"
Canon imageCLASS MF113w,"CPT/CAN047,CPT/CAN049"
Canon imageCLASS LBP-325dn,"CPT/CAN056L,CPT/CAN056,CPT/CAN056H-R,CPT/CAN056H,CPT/CAN056L-R,CPT/CAN056-R"
Canon imageCLASS MF543dw,"CPT/CAN056L,CPT/CAN056,CPT/CAN056H-R,CPT/CAN056H,CPT/CAN056L-R,CPT/CAN056-R"
HP LaserJet 4100,"CPT/C8061X,CPT/C8061XMICR"
HP LaserJet 4100 n,"CPT/C8061X,CPT/C8061XMICR"
HP LaserJet 4100 tn,"CPT/C8061X,CPT/C8061XMICR"
HP LaserJet 4100 dtn,"CPT/C8061X,CPT/C8061XMICR"
HP LaserJet 4100 mfp ,"CPT/C8061X,CPT/C8061XMICR"
HP LaserJet 4101 mfp ,"CPT/C8061X,CPT/C8061XMICR"
Canon imageCLASS MF445dw,"CPT/CAN057,CPT/CAN057H"
Canon imageCLASS LBP-226dw,"CPT/CAN057,CPT/CAN057H"
Canon imageCLASS LBP-227dw,"CPT/CAN057,CPT/CAN057H"
Canon imageCLASS MF448dw,"CPT/CAN057,CPT/CAN057H"
Canon imageCLASS MF449dw,"CPT/CAN057,CPT/CAN057H"
Canon imageCLASS LBP-228dw,"CPT/CAN057,CPT/CAN057H"
Canon imageCLASS LBP-200 Series,"CPT/CAN057,CPT/CAN057H"
Canon imageCLASS MF440 Series,"CPT/CAN057,CPT/CAN057H"
Canon imageCLASS MF455dw,"CPT/CAN057,CPT/CAN057H"
Canon imageCLASS LBP-236dw,"CPT/CAN057,CPT/CAN057H"
Canon imageCLASS LBP-237dw,"CPT/CAN057,CPT/CAN057H"
Canon imageCLASS MF451dw,"CPT/CAN057,CPT/CAN057H"
Canon imageCLASS MF453dw,"CPT/CAN057,CPT/CAN057H"
Canon imageCLASS MF452dw,"CPT/CAN057,CPT/CAN057H"
HP Neverstop Laser 1001nw,CPT/W1143A
HP Neverstop Laser MFP 1202w,CPT/W1143A
HP Neverstop Laser MFP 1202nw,CPT/W1143A
Source Technologies ST 9510 Micr,CPT/ST9510MICR
Source Technologies ST 9712 Micr,CPT/ST9712MICR
Source Technologies ST 9720 Micr,CPT/ST9712MICR
Source Technologies ST 9722 Micr,CPT/ST9712MICR
Source Technologies ST 9715 Micr,CPT/ST9712MICR
Source Technologies ST 9717 Micr,CPT/ST9712MICR
Canon imageCLASS LBP-712Cdn,"CPT/CAN040HBK,CPT/CAN040HC,CPT/CAN040HY,CPT/CAN040HM"
Canon Color imageCLASS MF741Cdw,"CPT/CAN055HBK,CPT/CAN055HC,CPT/CAN055HY,CPT/CAN055HM"
Canon Color imageCLASS MF743Cdw,"CPT/CAN055HBK,CPT/CAN055HC,CPT/CAN055HY,CPT/CAN055HM"
Canon Color imageCLASS MF745Cdw,"CPT/CAN055HBK,CPT/CAN055HC,CPT/CAN055HY,CPT/CAN055HM"
Canon Color imageCLASS LBP-664Cdw,"CPT/CAN055HBK,CPT/CAN055HC,CPT/CAN055HY,CPT/CAN055HM"
Canon Color imageCLASS MF746Cdw,"CPT/CAN055HBK,CPT/CAN055HC,CPT/CAN055HY,CPT/CAN055HM"
Dell M5200n,CPT/310-4133
Dell W5300n,CPT/310-4133
IBM/InfoPrint 1332,CPT/75P4303
IBM/InfoPrint 1332 Network,CPT/75P4303
IBM/InfoPrint 1352,CPT/75P4303
IBM/InfoPrint 1352 Network,CPT/75P4303
IBM/InfoPrint 1372,CPT/75P4303
IBM/InfoPrint 1372 Network,CPT/75P4303
Lexmark T630,"CPT/T630,CPT/T630MICR"
Lexmark T632,"CPT/T630,CPT/T630MICR"
Lexmark T634,"CPT/T630,CPT/T630MICR"
Lexmark T630n,"CPT/T630,CPT/T630MICR"
Lexmark T630dn,"CPT/T630,CPT/T630MICR"
Lexmark T632n,"CPT/T630,CPT/T630MICR"
Lexmark T632tn,"CPT/T630,CPT/T630MICR"
Lexmark T632dtn,"CPT/T630,CPT/T630MICR"
Lexmark T632Dtnf,"CPT/T630,CPT/T630MICR"
Lexmark T634n,"CPT/T630,CPT/T630MICR"
Lexmark T634tn,"CPT/T630,CPT/T630MICR"
Lexmark T634dtn,"CPT/T630,CPT/T630MICR"
Lexmark T634Dtnf,"CPT/T630,CPT/T630MICR"
Lexmark X630 ,"CPT/T630,CPT/T630MICR"
Lexmark X632 ,"CPT/T630,CPT/T630MICR"
Lexmark X632e,"CPT/T630,CPT/T630MICR"
Unisys UDS-140,"CPT/T630,CPT/T630MICR"
Unisys UDS-142,"CPT/T630,CPT/T630MICR"
Unisys UDS-144,"CPT/T630,CPT/T630MICR"
Lexmark X634e,"CPT/T630,CPT/T630MICR"
Lexmark X634dte,"CPT/T630,CPT/T630MICR"
Lexmark X632s,"CPT/T630,CPT/T630MICR"
Dell 1700,"CPT/310-5402,CPT/310-5404"
Dell 1700n,"CPT/310-5402,CPT/310-5404"
Dell 1710,"CPT/310-5402,CPT/310-5404"
Dell 1710n,"CPT/310-5402,CPT/310-5404"
Lexmark E330,"CPT/12A8305,CPT/E330-C"
Lexmark E332n,"CPT/12A8305,CPT/E330-C"
Lexmark E332tn,"CPT/12A8305,CPT/E330-C"
Lexmark E450dn,"CPT/E250X22G,CPT/E450"
Lexmark E350d,"CPT/E250X22G,CPT/E250-C,CPT/E350-C"
Lexmark E352dn,"CPT/E250X22G,CPT/E250-C,CPT/E350-C"
Lexmark E250d,"CPT/E250X22G,CPT/E250-C"
Lexmark E250dn,"CPT/E250X22G,CPT/E250-C"
Dell 1720,"CPT/E250X22G,CPT/310-8709"
Dell 1720dn,"CPT/E250X22G,CPT/310-8709"
Toshiba e-STUDIO 350P,CPT/E250X22G
Dell 5230n,CPT/330-6991
Dell 5230dn,CPT/330-6991
Dell 5350dn,CPT/330-6991
